[2026-08-31 22:55:45,135: INFO : main : logging is implemented]
[2026-08-31 23:18:34,628: INFO : common : yaml file: C:\Users\jkban\AppData\Local\Temp\tmpvw9um3ej\config.yaml loaded successfully]
[2026-08-31 23:23:39,268: INFO : common : yaml file: C:\Users\jkban\AppData\Local\Temp\tmpni2vwwog\config.yaml loaded successfully]
[2026-09-06 11:18:38,357: INFO : common : yaml file: config\config.yaml loaded successfully]
[2026-09-06 11:18:38,358: INFO : common : yaml file: params.yaml loaded successfully]
[2026-09-06 11:18:38,359: INFO : common : created directory at: artifacts]
[2026-09-06 11:18:38,362: INFO : common : created directory at: artifacts_root/data_ingestion]
[2026-09-06 11:19:37,778: INFO : common : yaml file: config\config.yaml loaded successfully]
[2026-09-06 11:19:37,781: INFO : common : yaml file: params.yaml loaded successfully]
[2026-09-06 11:19:37,781: INFO : common : created directory at: artifacts]
[2026-09-06 11:19:37,782: INFO : common : created directory at: artifacts/data_ingestion]
[2026-09-06 11:32:28,658: INFO : common : yaml file: config\config.yaml loaded successfully]
[2026-09-06 11:32:28,659: INFO : common : yaml file: params.yaml loaded successfully]
[2026-09-06 11:32:28,659: INFO : common : created directory at: artifacts]
[2026-09-06 11:32:28,660: INFO : common : created directory at: artifacts/data_ingestion]
[2026-09-06 11:34:41,397: INFO : common : yaml file: config\config.yaml loaded successfully]
[2026-09-06 11:34:41,403: INFO : common : yaml file: params.yaml loaded successfully]
[2026-09-06 11:34:41,408: INFO : common : created directory at: artifacts]
[2026-09-06 11:34:41,414: INFO : common : created directory at: artifacts/data_ingestion]
[2026-09-06 11:36:03,510: INFO : common : yaml file: config\config.yaml loaded successfully]
[2026-09-06 11:36:03,516: INFO : common : yaml file: params.yaml loaded successfully]
[2026-09-06 11:36:03,520: INFO : common : created directory at: artifacts]
[2026-09-06 11:36:03,524: INFO : common : created directory at: artifacts/data_ingestion]
[2026-09-06 11:36:26,545: INFO : 2781883786 : File downloaded successfully to artifacts/data_ingestion/data.zip]
[2026-09-07 22:12:06,741: INFO : main : Initiating Data Ingestion stage]
[2026-09-07 22:12:06,757: INFO : common : yaml file: config\config.yaml loaded successfully]
[2026-09-07 22:12:06,759: INFO : common : yaml file: params.yaml loaded successfully]
[2026-09-07 22:12:06,760: INFO : common : created directory at: artifacts]
[2026-09-07 22:12:06,760: INFO : common : created directory at: artifacts/data_ingestion]
[2026-09-07 22:12:07,065: INFO : main : Completed Data Ingestion stage]
[2026-09-08 23:45:16,552: INFO : common : yaml file: config\config.yaml loaded successfully]
[2026-09-08 23:45:16,555: INFO : common : yaml file: params.yaml loaded successfully]
[2026-09-08 23:45:16,557: INFO : common : created directory at: artifacts]
[2026-09-08 23:45:16,559: INFO : common : created directory at: artifacts/data_transformation]
